time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,units,City
2014-01-01,20.6,,28.7,,,,,,,,,Aurangabad
2014-01-01,25.4,,30.5,,,,,,,,,Mumbai
2014-01-01,19.7,,28.7,,,,,,,,,Nagpur
2014-01-01,20.3,,28.8,,,,,,,,,Pune
2014-01-01,22.3,,29.2,,,,,,,,,Solapur
2014-01-02,20.5,,27.8,,,,,,,,,Aurangabad
2014-01-02,26.7,,33.0,,,,,,,,,Mumbai
2014-01-02,20.1,,28.3,,,,,,,,,Nagpur
2014-01-02,20.3,,28.8,,,,,,,,,Pune
2014-01-02,23.5,,30.6,,,,,,,,,Solapur
2014-01-03,21.0,,28.6,,,,,,,,,Aurangabad
2014-01-03,26.7,,33.4,,,,,,,,,Mumbai
2014-01-03,19.7,,29.0,,,,,,,,,Nagpur
2014-01-03,20.1,,28.9,,,,,,,,,Pune
2014-01-03,23.6,,31.3,,,,,,,,,Solapur
2014-01-04,21.4,,29.4,,,,,,,,,Aurangabad
2014-01-04,25.2,,30.0,,,,,,,,,Mumbai
2014-01-04,20.8,,30.8,,,,,,,,,Nagpur
2014-01-04,20.2,,30.7,,,,,,,,,Pune
2014-01-04,24.0,,32.3,,,,,,,,,Solapur
2014-01-05,20.9,,27.6,,,,,,,,,Aurangabad
2014-01-05,23.7,,29.5,,,,,,,,,Mumbai
2014-01-05,21.2,,29.5,,,,,,,,,Nagpur
2014-01-05,19.8,,29.7,,,,,,,,,Pune
2014-01-05,24.0,,33.2,,,,,,,,,Solapur
2014-01-06,20.3,,28.1,,,,,,,,,Aurangabad
2014-01-06,23.9,,,,,,,,,,,Mumbai
2014-01-06,20.4,,27.9,,,,,,,,,Nagpur
2014-01-06,19.2,,29.1,,,,,,,,,Pune
2014-01-06,23.9,,33.1,,,,,,,,,Solapur
2014-01-07,21.0,,28.7,,,,,,,,,Aurangabad
2014-01-07,26.2,,33.6,,,,,,,,,Mumbai
2014-01-07,19.2,,27.2,,,,,,,,,Nagpur
2014-01-07,19.6,,29.5,,,,,,,,,Pune
2014-01-07,24.2,,32.2,,,,,,,,,Solapur
2014-01-08,22.1,,,,,,,,,,,Aurangabad
2014-01-08,26.5,,33.8,,,,,,,,,Mumbai
2014-01-08,20.1,,29.5,,,,,,,,,Nagpur
2014-01-08,20.9,,30.8,,,,,,,,,Pune
2014-01-08,24.1,,31.8,,,,,,,,,Solapur
2014-01-09,21.9,,28.9,,,,,,,,,Aurangabad
2014-01-09,24.1,,28.5,,,,,,,,,Mumbai
2014-01-09,21.2,,29.8,,,,,,,,,Nagpur
2014-01-09,21.2,,30.8,,,,,,,,,Pune
2014-01-09,24.1,,32.8,,,,,,,,,Solapur
2014-01-10,22.4,,,,,,,,,,,Aurangabad
2014-01-10,22.3,,28.5,,,,,,,,,Mumbai
2014-01-10,21.6,,29.3,,,,,,,,,Nagpur
2014-01-10,20.0,,30.7,,,,,,,,,Pune
2014-01-10,24.2,,32.1,,,,,,,,,Solapur
